podium_place,id,name,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Murph,Run 5k,Snatch,Sprint 400m
1,900251,James Sprague,465 lb,43:50,355 lb,550 lb,520,17:30,2:10,1:05,7:02,,72,,18:00,285 lb,0:59
2,671093,Dallin Pepper,425 lb,,360 lb,550 lb,403,,2:07,1:58,,,50,,,300 lb,
3,107101,Brent Fikowski,435 lb,47:36,355 lb,515 lb,,,,1:14,7:08,,,43:39,19:33,305 lb,
4,1020449,Jayson Hopper,475 lb,,390 lb,550 lb,408,,2:15,2:00,,,,,19:00,300 lb,0:52
5,158264,Patrick Vellner,455 lb,,355 lb,595 lb,389,20:16,2:14,1:17,9:46,,64,,18:50,290 lb,1:06
6,74320,Samuel Kwant,460 lb,,345 lb,530 lb,,,2:04,1:47,,,74,,18:05,285 lb,
7,40955,Ricky Garard,205 kg,,165 kg,240 kg,490,14:50,2:05,1:10,6:45,,75,,17:32,135 kg,0:54
8,811708,Justin Medeiros,,,,,,,,,,,,,,,
9,975774,Roman Khrennikov,215 kg,,370 lb,260 kg,,,2:00,1:10,,,75,,,280 lb,
10,947291,Austin Hatfield,535 lb,,375 lb,540 lb,430,,1:50,1:07,,,82,,17:52,305 lb,0:48
11,310970,Saxon Panchik,475 lb,,360 lb,535 lb,,,2:01,1:09,7:18,,62,,17:45,295 lb,0:52
12,156156,Jay Crouch,,,,,,,,,,,,,,,
13,1690,Travis Mayer,500 lb,,360 lb,565 lb,447,13:39,2:08,1:18,6:34,,85,,18:03,300 lb,0:54
14,680734,Henrik Haapalainen,210 kg,,170 kg,245 kg,,,,,,,,,,125 kg,
15,926366,Jelle Hoste,,,,,,,,,,,,,,,
16,81616,Björgvin Karl Guðmundsson,445 lb,,335 lb,520 lb,,,2:23,2:00,,,65,,19:20,286 lb,
17,1718365,Cole Greashaber,430 lb,,350 lb,500 lb,,,,,,,,,,280 lb,
18,1135386,Aniol Ekai,220 kg,,160 kg,245 kg,,,,1:10,,,60,,19:50,132 kg,0:55
21,1312584,Harry Lightfoot,474 lb,,355 lb,551 lb,,,,,,,,,,287 lb,
22,251546,Alexandre Caron,460 lb,,355 lb,555 lb,,20:02,2:23,1:30,,,50,,19:02,275 lb,
23,2064040,Kalyan Souza,180 kg,,144 kg,240 kg,,,2:22,1:59,7:34,,,,,126 kg,
24,153625,Cole Sager,475 lb,,345 lb,505 lb,522,13:15,2:03,1:10,7:14,,68,,19:28,275 lb,0:54
25,896411,Jack Rozema,500 lb,,375 lb,600 lb,,,,,,,,,,305 lb,
26,1335018,Bruno Marins,235 kg,48:00,165 kg,240 kg,,,1:57,1:22,,,77,,20:00,136 kg,1:00
27,1546147,Luke Parker,,,,,,,,,,,,,,,
28,479759,Bayley Martin,,,,,,,,,,,,,,,
29,740370,Ruan Potgieter,190 kg,,150 kg,230 kg,337,,2:14,,,,79,,,120 kg,
30,308651,Brandon Luckett,415 lb,,335 lb,485 lb,,,2:36,,7:28,,,,,275 lb,
31,1597619,Peter Ellis,,,,,,,,,,,,,,,
32,672425,Arthur Semenov,463 lb,,375 lb,585 lb,,,,1:07,7:36,,50,,19:30,305 lb,
33,925870,Moritz Fiebig,220 kg,,171 kg,260 kg,,,,,,,,,,135 kg,
34,888668,Luka Đukić,,,,,,,,,,,,,,,
35,686308,Guilherme Malheiros,232 kg,,395 lb,535 lb,,,2:26,2:26,,,50,,,310 lb,0:55
36,469656,Jeffrey Adler,475 lb,,377 lb,567 lb,511,15:17,2:02,1:16,7:18,,54,,19:15,290 lb,0:59
37,327636,Samuel Cournoyer,435 lb,,370 lb,530 lb,,,2:05,1:30,,,,,,305 lb,
38,1978208,Victor Hoffer,,,,,,,,,,,,,,,
38,1059467,Lazar Đukić,190 kg,,160 kg,240 kg,,,,,,,,,,126 kg,
